"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
540,COMSENSE TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Pune,"Other information technology and computer service
activities n.e.c",Copernicus Consulting PTE LTD,Singapore,"4,56,770.0000",5850.4302,Received in the company
541,Subex Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Hayssam Kanoun,UAE,"4,46,802.0000",5778.6607,Received in the Company
542,Subex Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",JAIME MORE BURY,Spain,"4,50,000.0000",5763.7183,Received in the company
543,ECENTRIC DIGITAL PRIVATE LIMITED,TELANGANA,Hyderabad,"Providing software support and maintenance to the
clients",Quantela INC,U.S.A,"4,37,849.0000",5748.479,Received in the company
544,AGDOVA TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,"Other professional, scientific and technical activities n.e.c.",M/s AGYLITI LLC,U.S.A,"4,36,812.0000",5594.8029,Received in the company
545,AEVITAS IT PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",AEVITAS IT LLC,U.S.A,"3,96,350.0000",5203.6425,Received in the company
546,ES SUN POWER PRIVATE LIMITED,KARNATAKA,Chikkaballapur,Electric power generation using solar energy,O2 Power SG Pte. Ltd.,Singapore,"4,05,667.0000",5195.8896,Brownfield
547,OLYMPUS-MONS TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Mariner Valleys Technology Pte. Ltd,Singapore,"3,99,990.0000",5123.1771,Received in the company
548,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"3,75,054.3000",4924.0532,"Received in the
company"
549,PRISMATIC SOFTWARES PRIVATE LIMITED,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Luitporia Software Consultancy Inc,U.S.A,"3,60,000.0000",4610.9746,Received in the company
550,MBAF SERVICES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Other information technology and
computer service activities n.e.c",BDO FOREIGN OPCO LLC,U.S.A,"3,45,198.4100",4532.078,Received in the company
551,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"3,29,652.9900",4327.9836,"Received in the
company"
552,AMICORP TRUSTEES (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,Management consultancy activities,Amicorp Group AG,Switzerland,"3,25,000.0000",4266.8949,Received in the company
553,AGDOVA TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,"Other professional, scientific and technical activities
n.e.c.",M/s AGYLITI LLC,U.S.A,"3,20,400.0000",4206.502,Received in the company
554,Shipskart Marine Private Limited,DELHI,East Delhi,"Other non- specialised wholesale trade
n.e.c.",Tarun Gulati,Netherland,"3,17,278.2900",4103.4811,Received in the Company
555,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"3,12,368.4200",4101.0561,Received in the company
556,"ZETWERK
MANUFACTURING BUSINESSES PRIVATE",KARNATAKA,Bengaluru,"Manufacture of
other fabricated metal products",Greenoaks Capital Opportunities Fund II LP,Cayman Islands,"3,12,270.0000",3999.6362,"Received in
the company"
,LIMITED,,,n.e.c.,,,,,
557,CMS ENGINEERING SERVICES PVT LTD,MAHARASHTRA,Mumbai,"Wholesale of computers and computer peripheral
equipment",CMS Technologies FZCO,UAE,"3,00,450.0000",3848.2426,Received in the company
558,Sathyam Green Power Private Limited,RAJASTHAN,Nagaur,"Electric power generation using other non conventional
sources",Focal Biomass Holdings Limited,Cyprus,"2,87,850.0000",3779.156,Greenfield
559,MEDIAAGILITY INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Mediaagility INC,U.S.A,"2,77,500.0000",3643.2718,Received in the company
560,MEDIAAGILITY INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Mediaagility INC,U.S.A,"2,77,500.0000",3643.2718,Received in the company
561,AGNITY COMMUNICATIONS PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Agnity Global Inc.,U.S.A,"2,78,782.0000",3570.7131,Received in the company
562,INDEPOT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Computer consultancy and computer facilities management activities,LIVSPACE PTE LIMITED,Singapore,"2,75,997.2400",3569.5776,Received in the Company
563,Subex Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Andrew R Jacobs,U.S.A,"2,70,000.0000",3544.805,Received in the company
564,AGDOVA TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,"Other professional, scientific and technical activities n.e.c.",M/s AGYLITI LLC,U.S.A,"2,63,974.0000",3381.0484,Received in the company
565,"BDP UGL GLOBAL
LOGISTICS INDIA PVT LTD",MAHARASHTRA,Mumbai,"Activities of
shipping cargo agents",BDP Global Service Pte Limited,Singapore,"2,58,318.1100",3308.6063,"Received in
the company"
566,ALUTEC FACADES INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and
similar articles used on buildings",Alutec international LLC,U.S.A,"2,44,344.8700",3129.6333,Received in the company
567,YACLASS TECH PRIVATE LIMITED,TAMIL NADU,Chennai,EDUCATIONAL SUPPORT SERVICES,Yaklass Inc,British Virginia,"2,27,700.0000",2944.931,Received in the Company
568,"HEAPS HEALTH SOLUTIONS INDIA
PRIVATE LIMITED",TELANGANA,Hyderabad,Hospital activities,Mr. Sudhakar Katragadda,U.S.A,"2,01,052.0000",2639.5931,"Received in the
company"
569,Toursoft Private Limited,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",JAPAN TRAVEL KK,Japan,"1,99,640.0000",2557.0416,Received in the company
570,AGDOVA TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,"Other professional, scientific and
technical activities n.e.c.",M/s AGYLITI LLC,U.S.A,"1,92,952.0000",2495.5218,Received in the Company
571,securelyshare research and development private limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",SecurelyShare Inc,U.S.A,"1,83,700.0000",2411.7803,Received in the company
572,Datascape Realty Private Limited,MAHARASHTRA,Thane,"Other data processing, hosting and related activities n.e.c.",ASCENDAS PROPERTY FUND (INDIA) PTE. LTD.,Singapore,"1,83,653.0000",2411.1632,Received in the company
573,CLINIKALLY DIGITAL HEALTH PRIVATE LIMITED,HARYANA,Gurgaon,Retail sale of perfumery and cosmetic articles,CLINIKALLY INC,U.S.A,"1,84,000.0000",2356.7204,Received in the company
574,SERVFAR SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,"Other information technology and computer service
activities n.e.c",REENOO KOCHAR,U.S.A,"1,83,040.0000",2344.4244,Received in the company
575,SIGHTSPECTRUM TECHNOLOGY SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,SightSpectrum LLC,U.S.A,"1,78,200.0000",2339.5713,Received in the company
576,SPORTSKINGDOM INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Computer consultancy and computer facilities management activities,SPORTSKINGDOM INTERNATIONAL PTE. LTD.,Singapore,"1,76,750.0000",2320.5344,Received in the company
577,"DRW INDIA TECHNOLOGY SERVICES PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",DRW Singapore Pte. Limited,Singapore,"1,49,985.0000",1921.0473,Received in the company
578,AGDOVA TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,"Other professional, scientific and
technical activities n.e.c.",M/s AGYLITI LLC,U.S.A,"1,45,070.0000",1876.2456,Received in the Company
579,DHRUVA INTERACTIVE PRIVATE LIMITED,KARNATAKA,Bengaluru,Publishing of computer games for all platforms,Take-Two International B.V.,Netherland,"1,38,533.0500",1791.7008,Received in the Company
580,Signzy Technologies Private Limited,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing","Kalaari Capital Partners III, LLC",Mauritius,"1,30,298.4000",1668.8962,Received in the company
581,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"1,24,814.3000",1638.6754,"Received in the
company"
582,EXIMMG EDUCATIONAL CONSULTANTS PRIVATE LIMITED,MAHARASHTRA,Mumbai,EDUCATIONAL SUPPORT SERVICES,Sparrowhawk 3 Limited and Oxford International Education & Travel Limited,United Kingdom,"1,20,595.3300",1583.2849,Received in the company
583,HEXANIKA RESEARCH PRIVATE LIMITED,MAHARASHTRA,Pune,Software installation,HEXANIKA INC,U.S.A,"1,19,988.0000",1575.3114,Received in the company
584,Prezent AI Private Limited,ODISHA,Khorda,"Other information technology and computer service
activities n.e.c",Prezent Inc.,U.S.A,"1,20,000.0000",1552.0058,Received in the Company
585,Prezent AI Private,ODISHA,Khorda,Other information,Prezent Inc,U.S.A,"1,20,000.0000",1552.0058,Received in
,Limited,,,technology and computer service activities n.e.c,,,,,the Company
586,Subex Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",MORELLI GIANLUCA E,Italy,"1,20,000.0000",1536.9915,Received in the company
587,WAREIQ LOGISTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign
trade zones",WareIQ Inc. (Incorporated in USA having UIN: 083862),U.S.A,"1,16,987.0000",1513.0375,Received in the Company
588,PerpetualBlock Technologies Private Limited,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Perpetual Block AG,Switzerland,"1,14,988.5000",1509.6734,Received in the company
589,UOLO EDTECH PRIVATE LIMITED,DELHI,South West Delhi,Other information technology and computer service activities n.e.c,Gocomet Pte. Ltd.,Singapore,"1,10,460.0000",1428.6213,Received in the Company
590,EXCOMATIX INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,EXCOMATIX LLC,U.S.A,"1,10,000.0000",1422.672,Received in the Company
591,MUMBAI NASIK EXPRESSWAY PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Construction and maintenance of
motorways, streets, roads, other",BIF India Holdings Pte. Ltd.,Singapore,"1,10,000.0000",1408.9089,Received in the company
,,,,"vehicular and pedestrian ways, highways, bridges, tunnels and subways",,,,,
592,STANVERSE TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Getstan Technologies PTE. LTD.,Singapore,"1,05,394.5000",1349.9205,Received in the company
593,THERMOENGINEERING INDIA PRIVATE LIMITED,DELHI,South West Delhi,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING,ENCORE COMBUSTION LLC,U.S.A,"1,02,338.7700",1343.5962,Received in the company
594,Biglittle Innovations Private Limited,Telangana,Hyderabad,Other information technology and computer service activities n.e.c,BL Innovations Inc,U.S.A,"1,01,810.0000",1316.7476,Received in the Company
595,"Embassy-Columbia Pacific ASL Private
Limited",KARNATAKA,Bengaluru,"Real estate activities with own or leased
property",CP SENIOR HOUSING (INDIA) LLC,U.S.A,"1,00,000.0000",1312.8907,"Received in the
company"
596,INNTECH IT SERVICES INTERNATIONAL PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Providing software support and maintenance to the clients,Ivy Technology Support Services Netherlands B.V.,Netherland,"1,00,000.0000",1312.8907,Received in the company
597,NATURAL.IT INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of other basic/manufactured food stuffs n.e.c.,G.E.I. GRUPPO ESSENZIERO ITALIANO S.P.A.,Italy,"1,00,000.0000",1312.8907,Received in the company
598,SYMATRIX GLOBAL IT SERVICES PRIVATE LIMITED,HARYANA,Gurgaon,Computer consultancy and computer facilities management activities,SYMATRIX LIMITED,United Kingdom,"1,00,000.0000",1312.8907,Received in the company
599,INTERACTIVE ICESPICE TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Publishing of computer games for all platforms,"NCORE GAMES, INC",U.S.A,99999,1312.8776,Received in the company
600,UKEYO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Activities of interior decorators,LIVSPACE PTE LIMITED,Singapore,99999,1312.8776,Received in the company
601,"AGILITY
INFRASTRUCTURE PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Construction of
buildings carried out on own-account",Agility Distriparks FZE,UAE,99990,1312.7595,"Received in
the company"
,,,,basis or on a fee or contract basis,,,,,
602,Cephus Brand Technologies Private Limited,KARNATAKA,Bengaluru,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign
trade zones",Mensa Brand Technologies Pte Ltd,Singapore,99990,1312.7595,Received in the company
603,DODGE INDUSTRIAL INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of bearings, gears, gearing and driving
elements","Dodge Industrial, Inc. (formerly known as Dodge Acquisition Co.)",U.S.A,99990,1312.7595,Received in the company
604,FANBUFF TECHNOLOGY INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Other data processing, hosting and related
activities n.e.c.",FanClash Technologies Inc.,UAE,99990,1312.7595,Received in the company
605,Froogal Innovations Private Limited,TELANGANA,Hyderabad,Providing software support and maintenance to the clients,FROOGAL INNOVATIONS INC,U.S.A,99990,1312.7595,Received in the company
606,Mission Dev India Private Limited,GUJARAT,Ahmedabad,Software installation,Mr. Hill Stephen John,United Kingdom,99990,1312.7595,"Received in the
company"
607,SANELA HEALTH TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,Hospital activities,Sanela Health Technologies Inc,U.S.A,99990,1312.7595,Received in the company
608,Tensor Tour India Private Limited,HARYANA,Gurgaon,"Other information technology and
computer service activities n.e.c",Tensortour Inc.,U.S.A,99990,1312.7595,Received in the company
609,Notaceon Technologies Private Limited,TELANGANA,Hyderabad,"Other data processing, hosting and related
activities n.e.c.",NOTACEON INC,U.S.A,99900,1311.5779,Received in the company
610,InstantPay India Limited,DELHI,South Delhi,Other telecommunications activities,RB Investments Pte Ltd,Singapore,99540,1306.8515,Received in the company
611,"Megawide
Infrastructure India Private Limited",GOA,North Goa,"Other specialized
construction activities",MEGAWIDE INFRASTRUCTURE DMCC,UAE,99000,1299.7618,"Received in
the company"
612,INDUS CONCESSIONS INFRA PRIVATE LIMITED,HARYANA,Gurgaon,Real estate activities on a fee or contract basis,Indo-Infra Inc.,Canada,"1,00,000.0000",1293.3381,Received in the Company
613,ACTUREAL SERVICES AND CONSULTING PRIVATE LIMITED,MAHARASHTRA,Pune,"Other professional, scientific and technical activities n.e.c.","Actu-Real, Inc.",U.S.A,99990,1293.2088,Received in the Company
614,CANOPY WORKFORCE SOLUTIONS INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,"Other information technology and
computer service activities n.e.c",SS SOFTWARE TECHNOLOGIES LLC,U.S.A,99990,1293.2088,Received in the Company
615,GP PROCESSING PRIVATE LIMITED,TAMIL NADU,Chennai,"Other information technology and computer service
activities n.e.c",Gracie Point International Limited,U.S.A,99990,1293.2088,Received in the Company
616,LUMINA CLOUDINFRA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related
activities n.e.c.",Lumina CloudInfra SG Pte Ltd,Singapore,99990,1293.2088,Received in the Company
617,MAALEXI PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Maalexi Inc,U.S.A,99990,1293.2088,Received in the Company
618,Suitable Technology Private Limited,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Suitable AI Inc,U.S.A,99990,1293.2088,Received in the Company
619,V2F Technology Private Limited,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",VISA2FLY INC,U.S.A,99990,1293.2088,Received in the Company
620,MSE POINTOUT INDIA PRIVATE LIMITED,DELHI,Central Delhi,"Providing software support and maintenance to the
clients",mSE PointOut Holding GmbH,Germany,99900,1292.0448,Received in the Company
621,NOVOGUILD,KARNATAKA,Bengaluru,Human resources,NOVOGUILD INC,U.S.A,98160,1288.7336,Received in
,TECHNOLOGIES PRIVATE LIMITED,,,provision and management of human resources functions,,,,,the company
622,InstantPay India Limited,DELHI,South Delhi,Other telecommunications activities,Kaleden Holdings Pte Ltd,Singapore,99540,1287.3888,Received in the Company
623,Bracheium Brand Technologies Private Limited,KARNATAKA,Bengaluru,Manufacture of wearing apparel n.e.c.,Mensa Brand Technologies Pte Ltd,Singapore,"1,00,000.0000",1280.8263,Received in the company
624,CONTINUUM POWER TRADING (TN) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Electric power generation using other non conventional
sources",CONTINUUM GREEN ENERGY LIMITED,Singapore,"1,00,000.0000",1280.8263,Received in the company
